Kuntanumero;Kunnan nimi;Kunnan nimi ruotsiksi;Maakuntanro;Maakunnan nimi
018;Askola;Askola             ;01;Uusimaa
049;Espoo;Esbo;01;Uusimaa
078;Hanko;Hangö;01;Uusimaa
091;Helsinki;Helsingfors;01;Uusimaa
092;Vantaa;Vanda;01;Uusimaa
106;Hyvinkää;Hyvinge;01;Uusimaa
149;Inkoo;Ingå;01;Uusimaa
186;Järvenpää;Träskända;01;Uusimaa
224;Karkkila;Högfors;01;Uusimaa
235;Kauniainen;Grankulla;01;Uusimaa
245;Kerava;Kervo;01;Uusimaa
257;Kirkkonummi;Kyrkslätt;01;Uusimaa
407;Lapinjärvi;Lappträsk;01;Uusimaa
434;Loviisa;Lovisa;01;Uusimaa
444;Lohja;Lojo;01;Uusimaa
504;Myrskylä;Mörskom;01;Uusimaa
505;Mäntsälä;Mäntsälä           ;01;Uusimaa
543;Nurmijärvi;Nurmijärvi         ;01;Uusimaa
611;Pornainen;Borgnäs;01;Uusimaa
616;Pukkila;Pukkila            ;01;Uusimaa
638;Porvoo;Borgå;01;Uusimaa
710;Raasepori;Raseborg;01;Uusimaa
753;Sipoo;Sibbo;01;Uusimaa
755;Siuntio;Sjundeå;01;Uusimaa
858;Tuusula;Tusby;01;Uusimaa
927;Vihti;Vichtis;01;Uusimaa
019;Aura;Aura               ;02;Varsinais-Suomi
202;Kaarina;S:t Karins;02;Varsinais-Suomi
284;Koski Tl;Koski Tl           ;02;Varsinais-Suomi
304;Kustavi;Gustavs;02;Varsinais-Suomi
322;Kemiönsaari;Kimitoön;02;Varsinais-Suomi
400;Laitila;Laitila            ;02;Varsinais-Suomi
423;Lieto;Lundo;02;Varsinais-Suomi
430;Loimaa;Loimaa             ;02;Varsinais-Suomi
445;Parainen;Pargas;02;Varsinais-Suomi
480;Marttila;Marttila           ;02;Varsinais-Suomi
481;Masku;Masku              ;02;Varsinais-Suomi
503;Mynämäki;Mynämäki           ;02;Varsinais-Suomi
529;Naantali;Nådendal;02;Varsinais-Suomi
538;Nousiainen;Nousis;02;Varsinais-Suomi
561;Oripää;Oripää             ;02;Varsinais-Suomi
577;Paimio;Pemar;02;Varsinais-Suomi
631;Pyhäranta;Pyhäranta          ;02;Varsinais-Suomi
636;Pöytyä;Pöytyä             ;02;Varsinais-Suomi
680;Raisio;Reso;02;Varsinais-Suomi
704;Rusko;Rusko              ;02;Varsinais-Suomi
734;Salo;Salo               ;02;Varsinais-Suomi
738;Sauvo;Sagu;02;Varsinais-Suomi
761;Somero;Somero             ;02;Varsinais-Suomi
833;Taivassalo;Tövsala;02;Varsinais-Suomi
853;Turku;Åbo;02;Varsinais-Suomi
895;Uusikaupunki;Nystad;02;Varsinais-Suomi
918;Vehmaa;Vehmaa             ;02;Varsinais-Suomi
050;Eura;Eura               ;03;Satakunta
051;Eurajoki;Euraåminne;03;Satakunta
079;Harjavalta;Harjavalta         ;03;Satakunta
099;Honkajoki;Honkajoki          ;03;Satakunta
102;Huittinen;Huittinen          ;03;Satakunta
181;Jämijärvi;Jämijärvi          ;03;Satakunta
214;Kankaanpää;Kankaanpää         ;03;Satakunta
230;Karvia;Karvia             ;03;Satakunta
271;Kokemäki;Kumo;03;Satakunta
484;Merikarvia;Sastmola;03;Satakunta
531;Nakkila;Nakkila            ;03;Satakunta
608;Pomarkku;Påmark;03;Satakunta
609;Pori;Björneborg;03;Satakunta
684;Rauma;Raumo;03;Satakunta
747;Siikainen;Siikainen          ;03;Satakunta
783;Säkylä;Säkylä             ;03;Satakunta
886;Ulvila;Ulvsby;03;Satakunta
061;Forssa;Forssa             ;04;Kanta-Häme
082;Hattula;Hattula            ;04;Kanta-Häme
086;Hausjärvi;Hausjärvi          ;04;Kanta-Häme
103;Humppila;Humppila           ;04;Kanta-Häme
109;Hämeenlinna;Tavastehus;04;Kanta-Häme
165;Janakkala;Janakkala          ;04;Kanta-Häme
169;Jokioinen;Jockis;04;Kanta-Häme
433;Loppi;Loppi              ;04;Kanta-Häme
694;Riihimäki;Riihimäki          ;04;Kanta-Häme
834;Tammela;Tammela            ;04;Kanta-Häme
981;Ypäjä;Ypäjä              ;04;Kanta-Häme
020;Akaa;Akaa;05;Pirkanmaa
108;Hämeenkyrö;Tavastkyro;05;Pirkanmaa
143;Ikaalinen;Ikalis;05;Pirkanmaa
177;Juupajoki;Juupajoki          ;05;Pirkanmaa
211;Kangasala;Kangasala          ;05;Pirkanmaa
250;Kihniö;Kihniö             ;05;Pirkanmaa
418;Lempäälä;Lempäälä           ;05;Pirkanmaa
508;Mänttä-Vilppula;Mänttä-Vilppula;05;Pirkanmaa
536;Nokia;Nokia              ;05;Pirkanmaa
562;Orivesi;Orivesi            ;05;Pirkanmaa
581;Parkano;Parkano            ;05;Pirkanmaa
604;Pirkkala;Birkala;05;Pirkanmaa
619;Punkalaidun;Punkalaidun        ;05;Pirkanmaa
635;Pälkäne;Pälkäne            ;05;Pirkanmaa
702;Ruovesi;Ruovesi            ;05;Pirkanmaa
790;Sastamala;Sastamala;05;Pirkanmaa
837;Tampere;Tammerfors;05;Pirkanmaa
887;Urjala;Urjala             ;05;Pirkanmaa
908;Valkeakoski;Valkeakoski        ;05;Pirkanmaa
922;Vesilahti;Vesilahti          ;05;Pirkanmaa
936;Virrat;Virdois;05;Pirkanmaa
980;Ylöjärvi;Ylöjärvi           ;05;Pirkanmaa
016;Asikkala;Asikkala           ;06;Päijät-Häme
081;Hartola;Hartola            ;06;Päijät-Häme
098;Hollola;Hollola            ;06;Päijät-Häme
111;Heinola;Heinola            ;06;Päijät-Häme
316;Kärkölä;Kärkölä            ;06;Päijät-Häme
398;Lahti;Lahtis;06;Päijät-Häme
560;Orimattila;Orimattila         ;06;Päijät-Häme
576;Padasjoki;Padasjoki          ;06;Päijät-Häme
781;Sysmä;Sysmä              ;06;Päijät-Häme
075;Hamina;Fredrikshamn;07;Kymenlaakso
142;Iitti;Iitti              ;07;Kymenlaakso
285;Kotka;Kotka              ;07;Kymenlaakso
286;Kouvola;Kouvola            ;07;Kymenlaakso
489;Miehikkälä;Miehikkälä         ;07;Kymenlaakso
624;Pyhtää;Pyttis;07;Kymenlaakso
935;Virolahti;Virolahti          ;07;Kymenlaakso
153;Imatra;Imatra             ;08;Etelä-Karjala
405;Lappeenranta;Villmanstrand;08;Etelä-Karjala
416;Lemi;Lemi               ;08;Etelä-Karjala
441;Luumäki;Luumäki            ;08;Etelä-Karjala
580;Parikkala;Parikkala          ;08;Etelä-Karjala
689;Rautjärvi;Rautjärvi          ;08;Etelä-Karjala
700;Ruokolahti;Ruokolahti         ;08;Etelä-Karjala
739;Savitaipale;Savitaipale        ;08;Etelä-Karjala
831;Taipalsaari;Taipalsaari        ;08;Etelä-Karjala
046;Enonkoski;Enonkoski          ;09;Etelä-Savo
090;Heinävesi;Heinävesi          ;09;Etelä-Savo
097;Hirvensalmi;Hirvensalmi        ;09;Etelä-Savo
171;Joroinen;Jorois;09;Etelä-Savo
178;Juva;Juva               ;09;Etelä-Savo
213;Kangasniemi;Kangasniemi        ;09;Etelä-Savo
